domain,sample_count,role,luminance_mean,luminance_std,green_excess,chroma_variation,background_pct,head_pct,stem_pct,leaf_pct,stem_width_px,skeleton_density,component_density,endpoint_density,leaf_contact_pct
Arvalis,110,Source train,0.3810211569070816,0.20887825638055801,0.09404659643769264,10.509273619556154,23.03009033203125,7.1567535400390625,1.7545700073242188,59.14497375488281,8.0,1.911163330078125,2.9947805253700692,61.72839506172839,80.33819628647215
CIMMYT,108,Source train,0.4300309270620346,0.25920236110687256,0.024961045943200588,9.34226054343733,10.0494384765625,10.048675537109375,2.8032302856445312,72.0346450805664,11.313708498984761,2.2983551025390625,1.0774572010056267,33.6283185840708,90.34981905910736
ETHZ,110,Source train,0.3347286731004715,0.1789453849196434,0.07681586220860481,8.010477349805203,27.428627014160156,4.296302795410156,1.3301849365234375,51.609230041503906,6.0,1.6956329345703125,4.412192704684809,71.66967430534417,81.77977251869393
INRAE,110,Source train,0.40267787873744965,0.12745565921068192,0.06764665246009827,5.363463900133698,16.442298889160156,7.797050476074219,1.86309814453125,60.59684753417969,8.0,2.22015380859375,2.3942537909018355,44.38405797101449,85.63398451898267
NJAU,110,Source train,0.43577179312705994,0.232092447578907,0.1834205463528633,11.196789555944406,8.311843872070312,0.5838394165039062,0.4650115966796875,72.54886627197266,11.8309518948453,0.457763671875,1.248195343823043,34.21978448156459,87.69687590109288
RRES,110,Source train,0.15852530300617218,0.14987481385469437,0.04702047072350979,6.687540516328161,33.815956115722656,5.999183654785156,1.3885498046875,51.820945739746094,10.0,1.15966796875,1.8755451903126357,50.450614237851596,73.91374264303863
ULiege_CRA-W,109,Source train,0.2412533462047577,0.1696753203868866,0.123148113489151,13.676093184047463,31.432723999023438,6.1656951904296875,1.2668609619140625,54.35943603515625,6.324555320336759,1.575469970703125,4.8507635593805665,86.60106479421121,76.48072077454569
UQ_new,110,Target test,0.43553493916988373,0.2736998498439789,0.23308749496936798,15.452183826262235,12.375450134277344,0.0,0.3345489501953125,70.3094482421875,8.246211251235321,0.4062652587890625,1.6103059581320451,34.08669877732493,85.68329718004338
USASK,110,Unused,0.28147220611572266,0.178510881960392,0.045301223173737526,10.576044065112335,33.27827453613281,12.44659423828125,5.9661865234375,47.97515869140625,8.0,6.72149658203125,1.0695178880076193,25.566899600018676,65.06219474969475
UTokyo,109,Validation,0.5233469605445862,0.1833571493625641,0.1276520937681198,12.633176841445515,46.65327072143555,3.0618667602539062,2.5211334228515625,35.41450500488281,22.80350850198276,1.1730194091796875,0.18454318969721736,13.62530413625304,58.05316653635653
