domain,role,image_path,mask_path,image_width,image_height,luminance_mean,luminance_std,green_excess,chroma_variation,background_pct,head_pct,stem_pct,leaf_pct,stem_width_px,skeleton_density,component_density,endpoint_density,leaf_contact_pct,skeleton_length,component_count,endpoint_count
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (1).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (1).png,512,512,0.6150139570236206,0.19383235275745392,0.15298502147197723,11.548538971274237,56.00624084472656,0.0,0.732421875,43.26133728027344,8.246211251235321,0.743865966796875,3.125,66.66666666666667,47.81659388646288,195,6,13
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (10).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (10).png,512,512,0.36169594526290894,0.23702822625637054,0.21637511253356934,14.829828659613524,30.205917358398438,5.403900146484375,1.18408203125,63.20610046386719,6.0,1.483917236328125,4.510309278350515,87.40359897172236,74.47045707915274,389,14,34
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (100).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (100).png,512,512,0.34711378812789917,0.21918822824954987,0.012815946713089943,12.768160900598497,32.78083801269531,12.423324584960938,2.9998779296875,51.79595947265625,8.0,3.4027099609375,3.6876907426246186,84.08071748878923,82.10961737331955,892,29,75
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (101).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (101).png,512,512,0.4032444655895233,0.23089084029197693,-0.04051114618778229,11.456223366765245,38.330078125,15.811538696289062,1.8428802490234375,44.0155029296875,8.0,1.93023681640625,2.4839577727178637,53.359683794466406,70.50359712230215,506,12,27
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (102).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (102).png,512,512,0.4179123640060425,0.3032163679599762,-0.009277823381125927,12.553447787559456,14.847564697265625,32.91168212890625,10.364913940429688,41.87583923339844,8.0,11.58905029296875,1.6561775422325273,45.095457537853854,76.66388657214345,3038,45,137
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (106).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (106).png,512,512,0.35761553049087524,0.17975635826587677,0.05395717918872833,10.802295716912814,45.76606750488281,0.0,0.0,54.23393249511719,,0.0,,,,0,0,0
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (11).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (11).png,512,512,0.5554429888725281,0.19399920105934143,0.2696707248687744,9.428350493912498,13.331222534179688,0.0,0.0,86.66877746582031,,0.0,,,,0,0,0
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (113).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (113).png,512,512,0.18796640634536743,0.12916764616966248,0.05798078328371048,6.155595226039215,25.507354736328125,5.089569091796875,1.3885498046875,68.0145263671875,7.211102550927978,1.71661376953125,4.395604395604396,86.66666666666667,72.5672877846791,450,16,39
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (114).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (114).png,512,512,0.1765311062335968,0.1301940232515335,0.05520717054605484,5.975790046059414,23.2757568359375,5.083465576171875,1.53350830078125,70.10726928710938,8.94427190999916,1.476287841796875,2.736318407960199,64.59948320413437,79.2824074074074,387,11,25
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (118).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (118).png,512,512,0.312311053276062,0.20323634147644043,0.03949606791138649,8.90228774082676,31.220626831054688,8.203125,0.7061004638671875,59.870147705078125,7.211102550927978,0.83160400390625,4.321988114532685,73.39449541284404,74.89795918367346,218,8,16
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (119).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (119).png,512,512,0.271097868680954,0.17736154794692993,0.039161160588264465,8.878032895189007,35.33477783203125,7.1689605712890625,1.660919189453125,55.83534240722656,8.0,1.758575439453125,1.607717041800643,36.8763557483731,59.14512922465209,461,7,17
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (12).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (12).png,512,512,0.608674943447113,0.14698725938796997,0.33171117305755615,9.604789266391272,10.131454467773438,0.0,0.0,89.86854553222656,,0.0,,,,0,0,0
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (120).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (120).png,512,512,0.37797147035598755,0.19336830079555511,-0.035283107310533524,8.395637786233777,42.694854736328125,5.6735992431640625,8.484268188476562,43.14727783203125,10.0,8.014678955078125,1.7535182770558877,41.8848167539267,45.13154935911851,2101,39,88
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (121).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (121).png,512,512,0.37820857763290405,0.20561276376247406,-0.022610744461417198,8.467675903710257,62.389373779296875,9.09881591796875,2.4303436279296875,26.081466674804688,6.0,3.1890869140625,2.04049599748862,32.29665071770335,40.94707520891365,836,13,27
Arvalis,Source train,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/images/Arvalis/ARVALIS_ (122).png,/icislab/volume3/benderick/futurama/gwfss25/GWFSS/GWFSS_v1.0_labelled/class_id/Arvalis/ARVALIS_ (122).png,512,512,0.37698298692703247,0.20887379348278046,-0.03354375809431076,8.83575868171998,52.52838134765625,11.439895629882812,3.4534454345703125,32.578277587890625,10.0,3.253936767578125,1.988291174196399,46.893317702227435,45.04741833508957,853,18,40
